DateTime,Buyopen,Buyhigh,Buylow,Buyclose
2016-12-27 01:00:00,1.04456,1.04456,1.04431,1.04433
2016-12-27 01:05:00,1.04438,1.04477,1.04438,1.04476
2016-12-27 01:10:00,1.04478,1.04483,1.04447,1.04453
2016-12-27 01:15:00,1.04452,1.04472,1.04452,1.04463
2016-12-27 01:20:00,1.04466,1.04467,1.04441,1.04447
2016-12-27 01:25:00,1.04449,1.04472,1.04441,1.04472
2016-12-27 01:30:00,1.04472,1.04484,1.04472,1.04482
2016-12-27 01:35:00,1.04481,1.04493,1.04465,1.04493
2016-12-27 01:40:00,1.04498,1.04507,1.04493,1.04502
2016-12-27 01:45:00,1.04502,1.04502,1.04471,1.04495
2016-12-27 01:50:00,1.04494,1.04494,1.04471,1.04471
2016-12-27 01:55:00,1.0447,1.04496,1.0447,1.04474
2016-12-27 02:00:00,1.04474,1.04493,1.04454,1.04454
2016-12-27 02:05:00,1.04454,1.04455,1.04415,1.04427
2016-12-27 02:10:00,1.04426,1.04446,1.04424,1.04437
2016-12-27 02:15:00,1.04437,1.04442,1.04409,1.04418
2016-12-27 02:20:00,1.04418,1.04437,1.04389,1.04428
2016-12-27 02:25:00,1.0443,1.04432,1.04411,1.04416
2016-12-27 02:30:00,1.04418,1.04444,1.04412,1.04442
2016-12-27 02:35:00,1.04443,1.04453,1.04441,1.04451
2016-12-27 02:40:00,1.04452,1.0446,1.04434,1.04443
2016-12-27 02:45:00,1.04442,1.04516,1.04436,1.0451
2016-12-27 02:50:00,1.04512,1.04527,1.04458,1.0446
2016-12-27 02:55:00,1.04461,1.04473,1.04428,1.0443
2016-12-27 03:00:00,1.04428,1.04471,1.04428,1.04471
2016-12-27 03:05:00,1.04472,1.04505,1.0447,1.04481
2016-12-27 03:10:00,1.0448,1.0448,1.04449,1.04468
2016-12-27 03:15:00,1.04466,1.04492,1.04452,1.04483
2016-12-27 03:20:00,1.04484,1.04493,1.04471,1.04475
2016-12-27 03:25:00,1.04474,1.04502,1.04461,1.04494
2016-12-27 03:30:00,1.04496,1.04512,1.04468,1.04482
2016-12-27 03:35:00,1.04483,1.04512,1.04483,1.04496
2016-12-27 03:40:00,1.04497,1.04521,1.0449,1.04521
2016-12-27 03:45:00,1.04521,1.04531,1.04513,1.0452
2016-12-27 03:50:00,1.04519,1.04534,1.04514,1.04514
2016-12-27 03:55:00,1.04514,1.04526,1.04502,1.04504
2016-12-27 04:00:00,1.04504,1.04512,1.045,1.04509
2016-12-27 04:05:00,1.04508,1.04515,1.04494,1.04514
2016-12-27 04:10:00,1.04515,1.04552,1.04511,1.04545
2016-12-27 04:15:00,1.04546,1.04551,1.04523,1.04527
2016-12-27 04:20:00,1.04527,1.04536,1.04514,1.0453
2016-12-27 04:25:00,1.04529,1.0453,1.04505,1.04514
2016-12-27 04:30:00,1.04513,1.04523,1.04503,1.04516
2016-12-27 04:35:00,1.04516,1.04516,1.04472,1.04475
2016-12-27 04:40:00,1.04476,1.04498,1.04466,1.04488
2016-12-27 04:45:00,1.04487,1.04506,1.0448,1.04487
2016-12-27 04:50:00,1.04488,1.04495,1.04476,1.04485
2016-12-27 04:55:00,1.04483,1.04516,1.04478,1.04506
2016-12-27 05:00:00,1.04505,1.04518,1.04501,1.04501
2016-12-27 05:05:00,1.045,1.04549,1.045,1.04546
2016-12-27 05:10:00,1.04546,1.04547,1.04508,1.04508
2016-12-27 05:15:00,1.04509,1.04544,1.04499,1.045
2016-12-27 05:20:00,1.045,1.04511,1.04479,1.04479
2016-12-27 05:25:00,1.0448,1.04489,1.04463,1.04478
2016-12-27 05:30:00,1.04479,1.04496,1.04479,1.04495
2016-12-27 05:35:00,1.04496,1.04514,1.04479,1.04511
2016-12-27 05:40:00,1.04511,1.04534,1.0451,1.04528
2016-12-27 05:45:00,1.04529,1.04547,1.04517,1.04537
2016-12-27 05:50:00,1.04537,1.04554,1.04513,1.04516
2016-12-27 05:55:00,1.04516,1.04529,1.04503,1.04519
2016-12-27 06:00:00,1.0452,1.04527,1.04498,1.04504
2016-12-27 06:05:00,1.04503,1.04528,1.04501,1.04517
2016-12-27 06:10:00,1.04516,1.04519,1.04489,1.04498
2016-12-27 06:15:00,1.04498,1.04513,1.04495,1.04504
2016-12-27 06:20:00,1.04504,1.04507,1.04494,1.04498
2016-12-27 06:25:00,1.04499,1.04537,1.04494,1.04537
2016-12-27 06:30:00,1.04535,1.0454,1.04503,1.04503
2016-12-27 06:35:00,1.04504,1.04513,1.04498,1.04507
2016-12-27 06:40:00,1.04506,1.04508,1.04493,1.04494
2016-12-27 06:45:00,1.04493,1.04498,1.04487,1.04498
2016-12-27 06:50:00,1.04498,1.04507,1.04477,1.04506
2016-12-27 06:55:00,1.04507,1.0451,1.04487,1.04493
2016-12-27 07:00:00,1.04492,1.04503,1.04464,1.04471
2016-12-27 07:05:00,1.04472,1.04482,1.04465,1.04479
2016-12-27 07:10:00,1.04476,1.04484,1.04456,1.04456
2016-12-27 07:15:00,1.04453,1.04482,1.04452,1.04474
2016-12-27 07:20:00,1.04475,1.04475,1.04413,1.04423
2016-12-27 07:25:00,1.04422,1.04423,1.04405,1.04406
2016-12-27 07:30:00,1.04405,1.0442,1.044,1.04416
2016-12-27 07:35:00,1.04416,1.04434,1.04406,1.04434
2016-12-27 07:40:00,1.04436,1.0444,1.04409,1.04422
2016-12-27 07:45:00,1.04421,1.0443,1.0441,1.04417
2016-12-27 07:50:00,1.04416,1.04436,1.04401,1.04402
2016-12-27 07:55:00,1.04404,1.04432,1.04402,1.04422
2016-12-27 08:00:00,1.04424,1.0443,1.04413,1.04428
2016-12-27 08:05:00,1.04429,1.04447,1.04426,1.04426
2016-12-27 08:10:00,1.04429,1.04456,1.04429,1.04451
2016-12-27 08:15:00,1.04452,1.04467,1.0443,1.04442
2016-12-27 08:20:00,1.04439,1.04466,1.04437,1.04446
2016-12-27 08:25:00,1.04445,1.04453,1.04436,1.04447
2016-12-27 08:30:00,1.04446,1.04448,1.0441,1.04411
2016-12-27 08:35:00,1.04413,1.04445,1.04412,1.04443
2016-12-27 08:40:00,1.04444,1.04466,1.04432,1.04458
2016-12-27 08:45:00,1.04457,1.04467,1.04414,1.04436
2016-12-27 08:50:00,1.04437,1.04453,1.04429,1.0445
2016-12-27 08:55:00,1.04452,1.04452,1.04425,1.04431
2016-12-27 09:00:00,1.0443,1.04503,1.04419,1.04501
2016-12-27 09:05:00,1.04499,1.04503,1.0448,1.04483
2016-12-27 09:10:00,1.04484,1.04485,1.04465,1.0448
2016-12-27 09:15:00,1.04481,1.04507,1.04475,1.04501
2016-12-27 09:20:00,1.04502,1.04513,1.0449,1.04512
2016-12-27 09:25:00,1.04515,1.0452,1.04509,1.04517
2016-12-27 09:30:00,1.04516,1.0454,1.0451,1.04515
2016-12-27 09:35:00,1.04516,1.04531,1.0451,1.04514
2016-12-27 09:40:00,1.04512,1.04526,1.04496,1.04499
2016-12-27 09:45:00,1.04497,1.04505,1.04483,1.04505
